n,t1,t2,k,average_score,score_std,average_time
2,10,1,100,0.971389,0.166711,3.247e-05
2,10,10,100,0.985325,0.120247,0.00020477
2,10,20,100,0.986413,0.11577,0.00039027
2,10,30,100,0.987197,0.112426,0.00056779
2,10,40,100,0.986958,0.113454,0.00075344
2,10,50,100,0.987086,0.112904,0.00092796
2,10,60,100,0.986672,0.114673,0.001094
2,10,70,100,0.985725,0.11862,0.00128633
2,10,80,100,0.986391,0.11586,0.00147321
2,10,90,100,0.984491,0.123567,0.00167285
2,10,100,100,0.986262,0.1164,0.00176243
2,50,1,100,0.970963,0.167911,3.869e-05
2,50,10,100,0.98604,0.117325,0.00020297
2,50,20,100,0.985557,0.119307,0.00037753
2,50,30,100,0.986153,0.116855,0.00054849
2,50,40,100,0.985594,0.119159,0.00073513
2,50,50,100,0.98693,0.113572,0.00092086
2,50,60,100,0.986842,0.113949,0.00108885
2,50,70,100,0.986001,0.117486,0.00127484
2,50,80,100,0.986474,0.115512,0.00144038
2,50,90,100,0.985461,0.119697,0.00160366
2,50,100,100,0.987448,0.111329,0.00176137
2,100,1,100,0.965764,0.181835,4.734e-05
2,100,10,100,0.985887,0.117955,0.00021384
2,100,20,100,0.986659,0.114731,0.00039183
2,100,30,100,0.985832,0.118184,0.00057033
2,100,40,100,0.985698,0.118734,0.00072694
2,100,50,100,0.986824,0.114028,0.00092212
2,100,60,100,0.985398,0.119952,0.0011098
2,100,70,100,0.986116,0.11701,0.00126085
2,100,80,100,0.986608,0.114947,0.0014505
2,100,90,100,0.986306,0.116218,0.00165328
2,100,100,100,0.987003,0.113261,0.00179738
2,200,1,100,0.971543,0.166275,6.555e-05
2,200,10,100,0.985257,0.120521,0.00023441
2,200,20,100,0.986479,0.11549,0.00040564
2,200,30,100,0.986882,0.113779,0.00059251
2,200,40,100,0.98701,0.113233,0.00076379
2,200,50,100,0.987301,0.111972,0.00094559
2,200,60,100,0.985833,0.118177,0.00111157
2,200,70,100,0.986065,0.11722,0.00129187
2,200,80,100,0.986713,0.1145,0.00146554
2,200,90,100,0.987399,0.111544,0.00164515
2,200,100,100,0.986436,0.115672,0.00181438
3,10,1,100,0.628317,0.483254,9.448e-05
3,10,10,100,0.764247,0.424469,0.00040086
3,10,20,100,0.766507,0.423053,0.00066243
3,10,30,100,0.771435,0.419908,0.00092145
3,10,40,100,0.765211,0.423867,0.00116927
3,10,50,100,0.76769,0.422306,0.00141518
3,10,60,100,0.771382,0.419943,0.00166091
3,10,70,100,0.766944,0.422777,0.00192385
3,10,80,100,0.774029,0.41822,0.00215332
3,10,90,100,0.772011,0.419536,0.00241752
3,10,100,100,0.768036,0.422086,0.00264338
3,50,1,100,0.61411,0.486805,0.00011622
3,50,10,100,0.764931,0.424042,0.0004079
3,50,20,100,0.766794,0.422872,0.00067047
3,50,30,100,0.769914,0.420888,0.00093107
3,50,40,100,0.768722,0.42165,0.00118825
3,50,50,100,0.766327,0.423167,0.00143471
3,50,60,100,0.766033,0.423351,0.00165968
3,50,70,100,0.767477,0.422441,0.00191138
3,50,80,100,0.766387,0.423129,0.00215943
3,50,90,100,0.767954,0.422138,0.00240241
3,50,100,100,0.769717,0.421014,0.00267788
3,100,1,100,0.623716,0.484453,0.00013866
3,100,10,100,0.76611,0.423303,0.00042171
3,100,20,100,0.768432,0.421834,0.0006841
3,100,30,100,0.772643,0.419125,0.00094069
3,100,40,100,0.772661,0.419114,0.00118545
3,100,50,100,0.771167,0.420082,0.0014283
3,100,60,100,0.768713,0.421655,0.00168844
3,100,70,100,0.768745,0.421635,0.00195216
3,100,80,100,0.77095,0.420221,0.00219794
3,100,90,100,0.771266,0.420018,0.00240557
3,100,100,100,0.76843,0.421836,0.00266152
3,200,1,100,0.618179,0.485833,0.00017741
3,200,10,100,0.770032,0.420812,0.00044276
3,200,20,100,0.765734,0.423539,0.00070994
3,200,30,100,0.763855,0.424713,0.00095954
3,200,40,100,0.765256,0.423839,0.00122732
3,200,50,100,0.765557,0.42365,0.00147425
3,200,60,100,0.767364,0.422512,0.00171109
3,200,70,100,0.768323,0.421904,0.00197376
3,200,80,100,0.763772,0.424764,0.00220796
3,200,90,100,0.765837,0.423475,0.00244329
3,200,100,100,0.771117,0.420114,0.00269381
